candidate,scenario,seed,transaction_cost_bps,path_bootstrap_reps,path_bootstrap_robust_min_p05,case_slack,breach,gate_passed,mean_test_relative,mean_validation_relative,mean_turnover,mean_test_executed_step_count,mean_test_gate_suppression_rate,error
l_s092625468_objw1,altblock_b16_s4242,5,35,30,0.0014979829833195362,0.008497982983319536,False,True,0.01761179712484351,0.011289552544592185,0.00010032556507044447,1.0,0.9978448275862069,
l_s092625468_objw1,baseline_b20_s4242,5,35,30,5.972945840322392e-05,0.007059729458403224,False,True,0.01761179712484351,0.011289552544592185,0.00010032556507044447,1.0,0.9978448275862069,
l_s092625468_objw1,baseline_b20_s4242,17,25,30,0.0061440371656872215,0.013144037165687222,False,True,0.017700774429325494,0.011388178798880988,0.00010032556507044447,1.0,0.9978448275862069,
l_s092625468_objw1,altblock_b16_s4242,17,35,30,0.0032425980948311397,0.01024259809483114,False,True,0.01761179712484351,0.011289552544592185,0.00010032556507044447,1.0,0.9978448275862069,
l_s092625468_objw1,altblock_b16_s4242,17,25,30,0.0034237265428784473,0.010423726542878448,False,True,0.017700774429325494,0.011388178798880988,0.00010032556507044447,1.0,0.9978448275862069,
l_s092625468_objw1,baseline_b20_s4242,17,35,30,0.0061031565734889996,0.013103156573489,False,True,0.01761179712484351,0.011289552544592185,0.00010032556507044447,1.0,0.9978448275862069,
l_s092625468_objw1,altblock_b16_s4242,5,25,30,0.0014979829833195362,0.008497982983319536,False,True,0.017700774429325494,0.011388178798880988,0.00010032556507044447,1.0,0.9978448275862069,
l_s092625468_objw1,baseline_b20_s4242,5,25,30,0.00010037383212047074,0.007100373832120471,False,True,0.017700774429325494,0.011388178798880988,0.00010032556507044447,1.0,0.9978448275862069,
l_s092625468_objw1,altseed_b20_s5252,5,25,30,0.005373115671321727,0.012373115671321728,False,True,0.017700774429325494,0.011388178798880988,0.00010032556507044447,1.0,0.9978448275862069,
l_s092625468_objw1,altseed_b20_s5252,5,35,30,0.005373115671321727,0.012373115671321728,False,True,0.01761179712484351,0.011289552544592185,0.00010032556507044447,1.0,0.9978448275862069,
l_s092625468_objw1,altseed_b20_s5252,17,25,30,0.005469714502281187,0.012469714502281187,False,True,0.017700774429325494,0.011388178798880988,0.00010032556507044447,1.0,0.9978448275862069,
l_s092625468_objw1,altseed_b20_s5252,17,35,30,0.005469714502281187,0.012469714502281187,False,True,0.01761179712484351,0.011289552544592185,0.00010032556507044447,1.0,0.9978448275862069,
l_s092625468_objw1,deepcheck_b12_s8080,5,25,30,0.003371431862511754,0.010371431862511753,False,True,0.017700774429325494,0.011388178798880988,0.00010032556507044447,1.0,0.9978448275862069,
l_s092625468_objw1,deepcheck_b12_s8080,5,35,30,0.003371431862511754,0.010371431862511753,False,True,0.01761179712484351,0.011289552544592185,0.00010032556507044447,1.0,0.9978448275862069,
l_s092625468_objw1,deepcheck_b12_s8080,17,25,30,0.005191311616608041,0.012191311616608042,False,True,0.017700774429325494,0.011388178798880988,0.00010032556507044447,1.0,0.9978448275862069,
l_s092625468_objw1,deepcheck_b12_s8080,17,35,30,0.005152987935922938,0.012152987935922937,False,True,0.01761179712484351,0.011289552544592185,0.00010032556507044447,1.0,0.9978448275862069,
l_s092625468_objw1,altblock_b24_s4242,5,25,30,0.004787501908998482,0.011787501908998483,False,True,0.017700774429325494,0.011388178798880988,0.00010032556507044447,1.0,0.9978448275862069,
l_s092625468_objw1,altblock_b24_s4242,17,35,30,0.006816706568589315,0.013816706568589316,False,True,0.01761179712484351,0.011289552544592185,0.00010032556507044447,1.0,0.9978448275862069,
l_s092625468_objw1,altblock_b24_s4242,5,35,30,0.004787501908998482,0.011787501908998483,False,True,0.01761179712484351,0.011289552544592185,0.00010032556507044447,1.0,0.9978448275862069,
l_s092625468_objw1,altblock_b24_s4242,17,25,30,0.0069433935463775525,0.013943393546377553,False,True,0.017700774429325494,0.011388178798880988,0.00010032556507044447,1.0,0.9978448275862069,
l_s092625468_objw1,altseed_b20_s6363,5,25,30,0.0056452728502449645,0.012645272850244964,False,True,0.017700774429325494,0.011388178798880988,0.00010032556507044447,1.0,0.9978448275862069,
