split,seed,fold,phase,phase_start,phase_end,policy_total_return,static_hold_total_return,policy_relative_total_return,policy_cash_weight,policy_borrow_weight,policy_turnover,policy_rebalance_count,delta_total_return_vs_static_hold,train_best_validation_objective,train_diag_passed_candidates,train_diag_coarse_candidates,train_diag_refine_candidates,train_diag_gate_fail_tail_cash,train_diag_gate_fail_tail_relative,train_diag_gate_fail_stress_relative,train_diag_gate_fail_full_relative,train_diag_gate_fail_turnover,train_diag_gate_fail_inactive,train_diag_gate_fail_robust_window,train_diag_gate_fail_overfit_gap,train_diag_gate_fail_regime_shift,train_diag_rescue_gate_used,train_diag_fallback_used,train_diag_near_lower_bound_count,train_diag_near_upper_bound_count,train_diag_tail_calm_share,train_diag_tail_drawdown_share,train_diag_tail_high_vol_share,train_diag_objective_weight_full,train_diag_objective_weight_tail,train_diag_objective_weight_stress,train_diag_robust_window_mean_relative,train_diag_robust_window_min_relative,train_diag_robust_window_std_relative,train_diag_validation_relative_total_return,train_diag_active_selected,train_diag_selected_via_pareto,train_diag_tail_rows,train_diag_stress_rows,param_bias,param_w_ret_1,param_w_ret_5,param_w_ret_21,param_w_ret_63,param_w_ma_gap_63,param_w_dd_63,param_w_vol_5,param_w_vol_21,param_w_vol_ratio_5_21,param_w_ret_accel,param_tactical_scale,param_action_smoothing,param_no_trade_band
chrono,7,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.268166,0.272629,-0.003507,0.009032,0.009876,0.007955,173,-0.004463,-0.215946,337,260,220,0,4,4,0,17,0,0,1,130,False,False,0,0,0.245,0.31,0.39,0.6,0.25,0.15,0.002668,-0.001031,0.004798,0.008183,True,True,200,57,0.105062,-0.688016,-0.751281,0.09228,0.059783,-0.408686,0.133832,-0.164178,-0.090782,-0.699063,-0.380972,0.066094,0.498201,0.01209
chrono,7,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.309701,0.299071,0.008183,0.008554,0.008646,0.006903,236,0.01063,-0.215946,337,260,220,0,4,4,0,17,0,0,1,130,False,False,0,0,0.245,0.31,0.39,0.6,0.25,0.15,0.002668,-0.001031,0.004798,0.008183,True,True,200,57,0.105062,-0.688016,-0.751281,0.09228,0.059783,-0.408686,0.133832,-0.164178,-0.090782,-0.699063,-0.380972,0.066094,0.498201,0.01209
chrono,7,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.345207,0.344293,0.00068,0.010363,0.024316,0.008345,422,0.000915,-0.385233,192,260,220,1,0,0,0,37,0,0,0,284,False,False,1,0,0.3,0.395,0.0,0.35,0.4,0.25,0.003786,-0.002408,0.007327,0.01169,True,True,200,61,0.225252,-0.103581,0.068945,-0.236228,-0.8,0.25939,0.40739,-0.761185,0.158611,-0.19069,-0.819303,0.147717,0.47653,0.000428
chrono,7,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.438664,0.42204,0.01169,0.021354,0.022739,0.009451,624,0.016624,-0.385233,192,260,220,1,0,0,0,37,0,0,0,284,False,False,1,0,0.3,0.395,0.0,0.35,0.4,0.25,0.003786,-0.002408,0.007327,0.01169,True,True,200,61,0.225252,-0.103581,0.068945,-0.236228,-0.8,0.25939,0.40739,-0.761185,0.158611,-0.19069,-0.819303,0.147717,0.47653,0.000428
chrono,7,fold_03,test,2024-06-10 00:00:00,2026-04-17 00:00:00,0.369502,0.362189,0.005368,0.009697,0.023916,0.006924,154,0.007312,-0.162782,245,260,220,0,0,2,0,7,0,0,0,230,False,False,0,1,0.89,0.0,0.0,0.3,0.5,0.2,0.003142,0.001606,0.001091,0.00977,True,True,200,196,0.172451,0.034598,-0.324312,-0.146321,-0.457971,0.183071,0.553076,-0.525574,-0.007665,0.290419,0.360497,0.21649,0.319804,0.010158
chrono,7,fold_03,validation,2021-08-30 00:00:00,2024-06-07 00:00:00,0.247723,0.23565,0.00977,0.013297,0.020887,0.007428,265,0.012073,-0.162782,245,260,220,0,0,2,0,7,0,0,0,230,False,False,0,1,0.89,0.0,0.0,0.3,0.5,0.2,0.003142,0.001606,0.001091,0.00977,True,True,200,196,0.172451,0.034598,-0.324312,-0.146321,-0.457971,0.183071,0.553076,-0.525574,-0.007665,0.290419,0.360497,0.21649,0.319804,0.010158
chrono,17,fold_01,test,2020-09-28 00:00:00,2022-08-02 00:00:00,0.273898,0.272629,0.000997,0.010877,0.012552,0.008879,267,0.001269,-0.248212,344,260,220,0,5,4,0,28,0,0,3,115,False,False,0,0,0.245,0.31,0.39,0.6,0.25,0.15,0.000579,-0.0008,0.001013,0.001574,True,True,200,57,0.227135,0.478949,-0.856522,-0.557375,-0.524625,-0.081835,0.432883,-0.703292,-0.814417,-0.425878,0.170143,0.075305,0.415743,0.007545
chrono,17,fold_01,validation,2017-12-18 00:00:00,2020-09-25 00:00:00,0.301115,0.299071,0.001574,0.012975,0.015579,0.006333,293,0.002044,-0.248212,344,260,220,0,5,4,0,28,0,0,3,115,False,False,0,0,0.245,0.31,0.39,0.6,0.25,0.15,0.000579,-0.0008,0.001013,0.001574,True,True,200,57,0.227135,0.478949,-0.856522,-0.557375,-0.524625,-0.081835,0.432883,-0.703292,-0.814417,-0.425878,0.170143,0.075305,0.415743,0.007545
chrono,17,fold_02,test,2022-08-03 00:00:00,2024-06-07 00:00:00,0.344293,0.344293,0.0,0.0,0.0,0.0,0,0.0,-0.12379,200,260,220,2,0,0,0,52,0,0,1,269,False,False,0,1,0.3,0.395,0.0,0.35,0.4,0.25,-0.00233,-0.004996,0.002185,-0.007176,False,True,200,61,0.143194,0.397604,0.674588,-0.217695,-0.017947,-0.036207,0.578921,0.376768,-0.301015,0.067838,-0.027031,0.024946,0.642062,0.001716
chrono,17,fold_02,validation,2019-10-24 00:00:00,2022-08-02 00:00:00,0.42204,0.42204,0.0,0.0,0.0,0.0,0,0.0,-0.12379,200,260,220,2,0,0,0,52,0,0,1,269,False,False,0,1,0.3,0.395,0.0,0.35,0.4,0.25,-0.00233,-0.004996,0.002185,-0.007176,False,True,200,61,0.143194,0.397604,0.674588,-0.217695,-0.017947,-0.036207,0.578921,0.376768,-0.301015,0.067838,-0.027031,0.024946,0.642062,0.001716
