run,cached,returncode,name,ridge_l2,target_mode,action_smoothing,scale_turnover_penalty,min_signal_scale,max_signal_scale,min_spy_weight,max_spy_weight,initial_spy_weight,no_trade_band,profile,transaction_cost_bps,slippage_bps,seed,gate,gate_scale,n_folds,min_robust_min_relative,min_active_fraction,mean_test_relative,mean_validation_relative,robust_min_test_relative,beat_hold_fraction,active_fraction,mean_turnover,worst_daily_relative_return,worst_max_relative_drawdown,overall_gate_passed,validation_gate_passed,validation_gate_value,validation_gate_threshold,robust_gate_passed,robust_gate_value,robust_gate_threshold,active_gate_passed,active_gate_value,active_gate_threshold,summary_csv,detailed_json,wealth_first_score
promoted_tanh_c12_s5_g055,False,0,promoted_tanh,0.015,tanh_return,1.0,0.0,-0.75,0.75,0.8,1.05,1.0,0.02,promoted_tanh,12.0,12.0,5,055,bps,5,0.0,0.01,0.006692858974178195,0.010311074283502997,0.003661326711706714,1.0,1.0,0.0012193466966300562,-0.0038757696568296,0.0119498567330903,True,True,0.010311074283502997,0.0055,True,0.003661326711706714,0.0,True,1.0,0.01,artifacts/main4_phase2_runs/promoted_tanh_c12_s5_g055/main4_gate055_f5_s5_summary.csv,artifacts/main4_phase2_runs/promoted_tanh_c12_s5_g055/main4_gate055_f5_s5_detailed.json,0.0076090123075590104
promoted_tanh_c12_s17_g055,False,0,promoted_tanh,0.015,tanh_return,1.0,0.0,-0.75,0.75,0.8,1.05,1.0,0.02,promoted_tanh,12.0,12.0,17,055,bps,5,0.0,0.01,0.006692858974178195,0.010311074283502997,0.003661326711706714,1.0,1.0,0.0012193466966300562,-0.0038757696568296,0.0119498567330903,True,True,0.010311074283502997,0.0055,True,0.003661326711706714,0.0,True,1.0,0.01,artifacts/main4_phase2_runs/promoted_tanh_c12_s17_g055/main4_gate055_f5_s17_summary.csv,artifacts/main4_phase2_runs/promoted_tanh_c12_s17_g055/main4_gate055_f5_s17_detailed.json,0.0076090123075590104
promoted_tanh_c12_s29_g055,False,0,promoted_tanh,0.015,tanh_return,1.0,0.0,-0.75,0.75,0.8,1.05,1.0,0.02,promoted_tanh,12.0,12.0,29,055,bps,5,0.0,0.01,0.006692858974178195,0.010311074283502997,0.003661326711706714,1.0,1.0,0.0012193466966300562,-0.0038757696568296,0.0119498567330903,True,True,0.010311074283502997,0.0055,True,0.003661326711706714,0.0,True,1.0,0.01,artifacts/main4_phase2_runs/promoted_tanh_c12_s29_g055/main4_gate055_f5_s29_summary.csv,artifacts/main4_phase2_runs/promoted_tanh_c12_s29_g055/main4_gate055_f5_s29_detailed.json,0.0076090123075590104
promoted_tanh_c15_s5_g055,False,0,promoted_tanh,0.015,tanh_return,1.0,0.0,-0.75,0.75,0.8,1.05,1.0,0.02,promoted_tanh,15.0,15.0,5,055,bps,5,0.0,0.01,0.006267894789262085,0.00980911334161041,0.003087669318877273,1.0,1.0,0.0011317246856754892,-0.0038757696568296,0.0119978032109747,True,True,0.00980911334161041,0.0055,True,0.003087669318877273,0.0,True,1.0,0.01,artifacts/main4_phase2_runs/promoted_tanh_c15_s5_g055/main4_gate055_f5_s5_summary.csv,artifacts/main4_phase2_runs/promoted_tanh_c15_s5_g055/main4_gate055_f5_s5_detailed.json,0.0069629359344441045
promoted_tanh_c15_s17_g055,False,0,promoted_tanh,0.015,tanh_return,1.0,0.0,-0.75,0.75,0.8,1.05,1.0,0.02,promoted_tanh,15.0,15.0,17,055,bps,5,0.0,0.01,0.006267894789262085,0.00980911334161041,0.003087669318877273,1.0,1.0,0.0011317246856754892,-0.0038757696568296,0.0119978032109747,True,True,0.00980911334161041,0.0055,True,0.003087669318877273,0.0,True,1.0,0.01,artifacts/main4_phase2_runs/promoted_tanh_c15_s17_g055/main4_gate055_f5_s17_summary.csv,artifacts/main4_phase2_runs/promoted_tanh_c15_s17_g055/main4_gate055_f5_s17_detailed.json,0.0069629359344441045
promoted_tanh_c15_s29_g055,False,0,promoted_tanh,0.015,tanh_return,1.0,0.0,-0.75,0.75,0.8,1.05,1.0,0.02,promoted_tanh,15.0,15.0,29,055,bps,5,0.0,0.01,0.006267894789262085,0.00980911334161041,0.003087669318877273,1.0,1.0,0.0011317246856754892,-0.0038757696568296,0.0119978032109747,True,True,0.00980911334161041,0.0055,True,0.003087669318877273,0.0,True,1.0,0.01,artifacts/main4_phase2_runs/promoted_tanh_c15_s29_g055/main4_gate055_f5_s29_summary.csv,artifacts/main4_phase2_runs/promoted_tanh_c15_s29_g055/main4_gate055_f5_s29_detailed.json,0.0069629359344441045
promoted_tanh_c18_s5_g055,False,0,promoted_tanh,0.015,tanh_return,1.0,0.0,-0.75,0.75,0.8,1.05,1.0,0.02,promoted_tanh,18.0,18.0,5,055,bps,5,0.0,0.01,0.005504661059044569,0.009364197063137469,0.0030426861714873965,1.0,1.0,0.0010984751142453944,-0.0038757696568296,0.0120457485660007,True,True,0.009364197063137469,0.0055,True,0.0030426861714873965,0.0,True,1.0,0.01,artifacts/main4_phase2_runs/promoted_tanh_c18_s5_g055/main4_gate055_f5_s5_summary.csv,artifacts/main4_phase2_runs/promoted_tanh_c18_s5_g055/main4_gate055_f5_s5_detailed.json,0.006202147809104221
promoted_tanh_c18_s17_g055,False,0,promoted_tanh,0.015,tanh_return,1.0,0.0,-0.75,0.75,0.8,1.05,1.0,0.02,promoted_tanh,18.0,18.0,17,055,bps,5,0.0,0.01,0.005504661059044569,0.009364197063137469,0.0030426861714873965,1.0,1.0,0.0010984751142453944,-0.0038757696568296,0.0120457485660007,True,True,0.009364197063137469,0.0055,True,0.0030426861714873965,0.0,True,1.0,0.01,artifacts/main4_phase2_runs/promoted_tanh_c18_s17_g055/main4_gate055_f5_s17_summary.csv,artifacts/main4_phase2_runs/promoted_tanh_c18_s17_g055/main4_gate055_f5_s17_detailed.json,0.006202147809104221
promoted_tanh_c18_s29_g055,False,0,promoted_tanh,0.015,tanh_return,1.0,0.0,-0.75,0.75,0.8,1.05,1.0,0.02,promoted_tanh,18.0,18.0,29,055,bps,5,0.0,0.01,0.005504661059044569,0.009364197063137469,0.0030426861714873965,1.0,1.0,0.0010984751142453944,-0.0038757696568296,0.0120457485660007,True,True,0.009364197063137469,0.0055,True,0.0030426861714873965,0.0,True,1.0,0.01,artifacts/main4_phase2_runs/promoted_tanh_c18_s29_g055/main4_gate055_f5_s29_summary.csv,artifacts/main4_phase2_runs/promoted_tanh_c18_s29_g055/main4_gate055_f5_s29_detailed.json,0.006202147809104221
promoted_tanh_c22_s5_g055,False,0,promoted_tanh,0.015,tanh_return,1.0,0.0,-0.75,0.75,0.8,1.05,1.0,0.02,promoted_tanh,22.0,22.0,5,055,bps,5,0.0,0.01,0.005091957164414795,0.008775139871806647,0.0029827107099824612,1.0,1.0,0.0010984751142453944,-0.0038757696568296,0.0121096739593665,True,True,0.008775139871806647,0.0055,True,0.0029827107099824612,0.0,True,1.0,0.01,artifacts/main4_phase2_runs/promoted_tanh_c22_s5_g055/main4_gate055_f5_s5_summary.csv,artifacts/main4_phase2_runs/promoted_tanh_c22_s5_g055/main4_gate055_f5_s5_detailed.json,0.00575945618372198
